artist_id,artist_name,artist_subname,artist_id_melon,artist_id_genie,artist_id_youtubemusic,artist_id_spotify,artist_id_instagram,artist_id_youtube,artist_id_x
78,장기하,Chang Kiha,611343,69088189,OLAK5uy_ljfiTyozaK-h-o-UgDOJasqXbhTsxMYsU,2kppzekGp379T3M56GYd7d?si=HOU7-nr8QPSHpMNy5AseIQ,kihachang,UCWFhVn01JxtSNWkKNKo-CDA,kihachang
79,적재,,771375,80264535,OLAK5uy_nFMGuf1IhwpuFpqoSkSOY1eQY9a8IoyzI,7bWYN0sHvyH7yv1uefX07U?si=p8yrZ8APTbmBHDD8sj0Y2g,jungjukjae,UCnLtKHf2cDTRgWYKDIoW0nw,
80,정우,Jungwoo,2735906,80728733,OLAK5uy_lBsVMvYaxn7Lt2xGPBN1Bctw2cA2Wcm8U,3tvnuk98r2VOv9ygTK8cjs?si=UavYA6S9SoC74EACHChZmQ,6th_saturday,UC82jzpYAmk3bba1eWkk1Njw,6th_Saturday
81,죠지,,790830,80510918,OLAK5uy_mpjuP3OXhxZHzn5c2_DRTc1L6PRyyhgHA,2pRZp2WxvnWWiSPcSSYkNV?si=N5384hmURiuTeSa0_OgBAQ,leeeegeorge,UCj2E4wFosHCvxO0Jem_Vpzw,
82,지소쿠리클럽,jisokuryClub,2754530,80768700,OLAK5uy_nhfSjZ9XLFa8rjBqQhkCt2HH4f0iQ-dg8,4CIo3JKWdZi41ZKLlSjlyO?si=jbynbQyqQeaesEYHnA11_g,jisokuryclub,UCiCwVvbfQdtunFLE6aB3D_w,
83,채무자들,,3074520,81340183,,0B0lliXRxbVGXjht1Y6QkS?si=RhfCHYbpQOqmjZrv2A-ewQ,ddebtorss,UCCzYomysahxqHw7MjcozH0Q,
84,체리필터,cherryfilter,101491,14958066,OLAK5uy_nyfXAK6qFp4ZhccRRTGPm-aw_3TQisP9w,3uk3Jz2yT37niCo3c5GMf2?si=OEELmg_VS-O2ugiS8bl04g,cherryfilter_headup,,
85,초록불꽃소년단,,861391,80371084,OLAK5uy_n3HUHWpbQgYA7L5pVO1dg-syrlTmZ0fAo,02lSURBnybQit6FIm8zGDE?si=MPMicjBjQCGivfit_q2ECQ,greenflameboys_official,UC_TaghShKu7vWx8GkK4VrxA,greenflameboys
86,추다혜차지스,CHUDAHYE CHAGIS,2870640,80844526,OLAK5uy_mQXGtAP8JmC8vkuStaqZjKhV9otyej7jo,3ttQR1taRsySrYIc2U3iAA?si=R1LyD6H4QzCqFEDPTCvPyA,chudahye_0,UCk9Jf1tB8gujvr9V5aQ8KdA,chudahye
87,카더가든,"Car, the Garden",735506,80520019,OLAK5uy_lwdJ_r3mxhzc97kYwYYtKa8ndD08qIai8,7c1HgFDe8ogy5NOZ1ANCJQ?si=H-jMNA2YS160T1SzrxgpuA,carthegarden,UC1KHPyA5XiRMxiXcV9kruNA,
88,카디,KARDI,2968022,81223864,OLAK5uy_lUYkionZCR6o9SKHIH044HP-p2WRv24wc,6v8xPUDPu5hQlu0GrYHyOE?si=lNziyCKsRfSMtgVigPZqGA,bandkardi_,UC9D3wSCLuif2Hd3kTc4zD9w,kardiofficial
89,캐치더영,Catch The Young,3612125,82218548,OLAK5uy_n7ImNZSTogsppeOenb97XIV9JBqd4eK44,422jw2by1jl14vn1FP9EGA?si=P13C4WbgRmmApzLTpqQSQg,catch_theyoung,UCIqbCtkXMNRwi7-cwIeqE9A,catch_theyoung
90,코토바,cotoba,2741938,80744629,OLAK5uy_mIovtlRQYg0sEx-DwmtFcoNW2-Zk3jFVk,5KOhn3Gjbd4DUavli5No5f?si=wK87VIjHS-C_R8EJ7BO52w,bandcotoba,UCwKf8Qw6Um090LXWTgIP-sQ,bandcotoba
91,크라잉넛,CRYING NUT,100766,14940114,OLAK5uy_ljketli07zXwvCOtzReaJdkL2QZiFBt8U,0jg8QQ5BExafoPBy7ZyA5t?si=X4gGQPXdTjagH7WiaWRchQ,crying.nut,,CryingNut
92,크랙베리,CRACKBERRY,924969,80481671,OLAK5uy_mSXTuFAP7bUKyNm4zm9VLOUlInQXvEq2Y,0rPsKGkMcVmG62pW21ILWK?si=0OeQgqcXRXqEjWwQb7QKkQ,bandcrackberry,UCFlAi2xJQM7rmfz22wY175A,
93,크랙샷,Crack Shot,838868,80463359,OLAK5uy_mR75D6GMige2Jd3yWlzKVoCTw6KRYpjqc,4OIvtiUAaPgUT1ZzmVc5yb?si=VZj-XCxRRmqrRpVPcXXcgA,crackshot_official,UCffnIpZgupPrNAtYvS60UAQ,crackshot__twt
94,크램,CRAM,2855922,80804838,OLAK5uy_mZVV2fvX1ycLS8EHOJnUUKtKIXQzkKq_g,3SUcH2pbCDVAAJKwlSr9gh?si=XK_fyAzpT--wfmJMR8iVuw,cram_band,UCVwc5WJ6TGgcsP0jKqyt2FA,
95,터치드,TOUCHED,2905108,80981969,OLAK5uy_mc6PVIc07jnZ7dSosOUnqWT41TD9ExKlE,5jgIm8tZ4hqLeoHTo9wJIV?si=VXa4eT2qToWxKllfmkVKZA,touched_official,UC1VarYVKLPA6DL8rLclYxBg,band_touched
96,파란노을,Parannoul,2932884,81097522,OLAK5uy_nxoyy87YxV6scsojVs2AMc2eqTyxUzYzU,7eZbNxarrTW4VkRI8u9aDX?si=jg077bbcSUmpU8fgqlwYcQ,parannoul,UC7dSgh4tqzqk1bFxYW4If2A,
97,퍼지퍼그,Fuzzy Pug,2241864,80644831,OLAK5uy_k_nYtLjiTotoQ50VOsBmPJB34Gi-_SJk4,2xZTZp5pEyDp5RtvNGzh8n?si=7sDt27BYTxqL_kQANA2fUA,fuzzypug_rock,UC_LZtMPCbCMqsL3Dtq_7JBQ,
98,한로로,,3080810,81358947,OLAK5uy_loaAgXY0639Mj3tVwbJzPZS6ufmDXTsw4,5wVJpXzuKV6Xj7Yhsf2uYx?si=zom3l_wATjaTNnKDprfsWg,hanr0r0,UCrDa_5OU-rhvXqWlPx5hgKQ,
99,해서웨이,Hathaw9y,2902255,80967106,OLAK5uy_maBB3L8PQPgZ_xG5XijNeBS9me9stRzgk,2G2Jiy00NjBxfbex9wXkeN?si=3RZYNlFrR16v40von9NAvQ,hathaw9y,UCmmzRS14shy_mVirmBNZxXg,
100,홈 슬라이스,Home Slice,3474202,82068254,OLAK5uy_k9AnzqGYqi92EJ6BXbil9iWDFnrVQeTMU,3fLpSd4dRogbjsg3JxEL2f?si=I7xynGfcQ7CTgIJC1tBNiQ,,,
101,화노,Hwanho,2297235,80650922,OLAK5uy_k-aDWtFbhmqa8OJiObOJkMUUxDSO9qTBc,3PIsLQ22l4FXjkpyua0L3n?si=wQEMHVj4RrmC-iN79QInPg,hwa_nho,UC1a8zgnRWRmhakkzUT33Yuw,
102,ADOY,,1704627,80575548,OLAK5uy_m1Cx0zxD4CHP3bILmSBsp6Ar67oyqzF-4,64sY7LsUjNE3ifONkftTXC?si=VYQdE90nSPyIBfgEKh3EJw,adoyband,UCAb1DeCXxhxP7QwC7wfd_UA,adoyband
103,CHS,,2137345,80630519,OLAK5uy_npQy4-LMvNC6ToeEzqSshEZ8Vqr8n3mPw,3cCaTUacr5zO6U6NK4zafd?si=vZki22CsT6qUhmsfWyLWmA,chsveryhigh,UCELRmiQtqBV910rlGLzxeMg,
104,KAVE,,2861867,80823320,OLAK5uy_lplhdLpOXyramCYtBePK1i9KBLuq4_i8U,2ULfZAs05dyyWxznOPua14?si=8B29q_WoTmmF1c9Pdj3Cfw,kave_official_,UCtX6ezV20wLb5U6lOxTvQng,kave_official_
105,QWER,,3610529,82209678,OLAK5uy_npMhAWz_wzG49jW2OU4JdS7bvdH36Sz6k,0XufO9nLOKNN0w0qNrDrZy?si=Qv33H5BKS9i8OfLZVMQWLA,qwerband_official,UCgD0APk2x9uBlLM0UsmhQjw,official_QWER
106,Rad Museum,,1815251,80599545,OLAK5uy_lMy_7Sr9DzJRVoWQKyjVpV6gkCodcu4aM,6UdKtISMXYKSR8jcgtFePo?si=8-9OAMkEQ1iO9bE4ePtS4A,radmuseum,UCSPRXXWsW8MqiM7p2vqqViQ,
107,Red C,,2855009,80801814,OLAK5uy_kYVtqLbC93wfuAj8oQTA5r7ERGtSS97b8,4nBDC9OaFPlcrBPwuJzRGM?si=yM5fK0D8RkqqmSSw6vQIzQ,redcofficial,UCAxt_zt3iRXL0MopuhzO4zQ,
108,Remnants of the Fallen,,177736,80096755,OLAK5uy_kde1fY8GLCjrpmJyrHHEA6dQHucRyLTC4,0cVAshUDQXzj7LUBq9BLLl?si=E8x-FHXFQBaxICyNlstdTg,remnantsofthefallen_official,UCx38O7nrzSsE8mQerDQNHZA,RemnantsOTF
109,Sailor Honeymoon,,3457989,81952586,OLAK5uy_niZ3yKzKpmV7fKJIH-2BM7iQ_gnxz08C8,6qzA8cgwfUtv4M5BHgCK7C?si=2_ZVwS7BSgCQqLsHPOpYWw,sailorhoneymoon.kr,UCnhqA5wdOT7DRdUmSPCqm7g,
110,Snake Chicken Soup,,3158525,81638980,OLAK5uy_m72wuiq7tbHRonyWFwOy3rcm_-Lggbrvs,5ZvbUkbbw0B8SMap2PpPIc?si=qNMsvSanQy-38XEyZ4QwBw,snakechickensoupofficial,UCvALo51OGraEZ61cix8QNTQ,
111,The Sound,,2085985,81095781,OLAK5uy_kvXvfMzo2T28x9JOBHfcm1Ksmunn8sEEQ,1JluhyaAkZeJxskwgxlu7o?si=zr8l5lgmQBy8MumikgPzAg,thesound_dsnd,,thesound_dsnd
112,TRPP,,2940460,81126863,OLAK5uy_k7fWx-G9uSgXkkfYkDuGYSssSyEdgoU2Q,1aBpZ0N9BHa5pVM8oKhT0D?si=1-pLKAnXQ2WtLRCp-SEhkA,trppmusic,UCO9ihjNbr7xw5V9kNC1ZUqg,
